City, Country,AQI_PM2_5,PM2_5,PM10,wind_speed,Soiling_Rate,lat,lng
Moscow, RU,39.01418439716312,9.3,16.361878453038674,38.17403314917127,0.017,55.75222015,37.61555862
Mumbai, IN,106.37196765498652,37.5,84.99324324324324,114.20177383592018,0.104,18.96904755,72.82118225
Muzaffarnagar, IN,152.59615384615384,57.4,107.55630630630633,156.30180180180182,0.166,29.47255707,77.70713043
Mysore, IN,62.744505494505496,17.3,38.3490990990991,63.299549549549546,0.042,12.3084383,76.65393066
Málaga, ES,43.054054054054056,10.3,21.828125,41.47767857142857,0.02,36.7196312,-4.42000008
Münster, DE,37.57821229050279,8.8,0.0,0.0,0.015,52.98540497,10.09009171
Nagano, JP,29.506738544474395,6.9,0.0,0.0,0.009,36.64403152,138.10171509
Nagasaki, JP,36.22641509433962,8.6,0.0,0.0,0.015,32.78348923,129.82772827
Nagoya, JP,34.506738544474395,8.1,0.0,0.0,0.013,35.15694427,136.91304016
Nagpur, IN,107.14488636363636,37.9,65.6986301369863,114.82870370370372,0.106,21.15261841,79.0881958
Naha, JP,23.75138121546961,5.5,0.0,0.0,0.005,26.20046997,127.72858429
Nakhon Pathom, TH,59.54716981132076,15.9,0.0,0.0,0.037,13.82313633,100.05728149
Namur, BE,27.961290322580645,6.4,12.323442136498516,27.937313432835825,0.008,50.46492386,4.86506319
Nanchang, CN,82.24258760107817,26.8,0.0,0.0,0.071,28.68268394,115.85816956
Nancy, FR,42.11217948717949,10.0,0.0,0.0,0.019,48.69078064,6.18246603
Nanjing, CN,79.76280323450135,25.4,0.0,0.0,0.067,32.05838013,118.79647064
Nanning, CN,76.76819407008087,23.9,0.0,0.0,0.062,22.81723595,108.36626434
Nantes, FR,33.80397727272727,7.9,0.0,0.0,0.013,47.21826553,-1.557181
Naples, IT,55.02164502164502,14.0,0.0,0.0,0.031,40.83998489,14.25254154
Nara-shi, JP,38.64690026954178,9.1,0.0,0.0,0.016,34.68444061,135.80499268
Nashik, IN,95.67065868263474,33.0,54.46588235294118,101.6004842615012,0.09,20.05602264,73.64289093
Nashville, US,34.80592991913747,8.1,0.0,34.208425720620845,0.013,36.1663475,-86.77905273
Netanya, IL,63.925824175824175,17.8,32.13513513513514,64.67945823927765,0.043,32.3286171,34.8566246
New Delhi, IN,156.26376811594204,65.1,0.0,163.70352941176472,0.19,28.63242531,77.21878815
Newcastle, AU,18.644204851752026,4.3,15.797777777777778,19.051111111111112,0.001,-32.92921066,151.77001953
Newport, GB,28.33692722371968,6.7,0.0,0.0,0.009,52.01679993,-4.8295269
Nice, FR,38.0945945945946,9.1,0.0,0.0,0.016,43.70342636,7.26626492
Nicosia, CY,60.6,16.3,0.0,0.0,0.039,35.17489624,33.36385727
Niigata, JP,28.36657681940701,6.7,0.0,0.0,0.009,37.91999817,139.0400238
Nijmegen, NL,39.50134770889488,9.3,0.0,0.0,0.017,51.84169388,5.85865116
Ningbo, CN,68.21563342318059,20.1,0.0,0.0,0.05,29.86007118,121.62428284
Niš, RS,71.20754716981132,21.6,0.0,0.0,0.055,43.31686783,21.89449883
Norwich, GB,37.16986301369863,8.8,0.0,0.0,0.015,52.62810135,1.29934895
Novi Sad, RS,51.65498652291105,12.1,0.0,0.0,0.026,45.25455475,19.84257507
Novosibirsk, RU,64.11382113821138,18.2,22.802168021680217,64.11382113821138,0.045,55.04999924,82.94999695
Nur-Sultan, KZ,53.73053892215569,13.0,0.0,0.0,0.028,51.1282196,71.43067169
Nîmes, FR,34.50948509485095,8.1,0.0,0.0,0.013,43.83459091,4.36086416
Oakland, US,31.80323450134771,7.4,1.0,30.65111111111111,0.011,37.80482864,-122.2724762
Oaxaca, MX,129.36363636363637,46.8,0.0,0.0,0.133,17.0618763,-96.72459412
Okayama, JP,43.33962264150944,10.3,0.0,0.0,0.02,34.72589493,133.91300964
Oklahoma City, US,34.81132075471698,8.1,19.58980044345898,34.39689578713969,0.013,35.46849442,-97.52126312
Olomouc, CZ,48.73854447439353,11.5,18.301552106430155,50.208425720620845,0.024,49.59538651,17.25187302
Omaha, US,25.889487870619945,6.0,17.246119733924612,26.361419068736144,0.007,41.25865173,-95.93719482
Orléans, FR,35.74393530997305,8.4,0.0,0.0,0.014,47.90139771,1.903916
Orūmīyeh, IR,65.65060240963855,18.7,0.0,0.0,0.046,37.54934692,45.0682869
Osaka, JP,37.12938005390836,8.8,0.0,0.0,0.015,34.69388962,135.50221252
Oslo, NO,28.072972972972973,6.7,0.0,0.0,0.009,59.97575378,10.73856163
Osorno, CL,59.56603773584906,15.9,24.10738255033557,52.50110864745011,0.037,-40.57323837,-73.13581085
