"City, Country",AQI_PM2_5,PM2_5,Soiling_Rate,lat,lng,PM10
"Abidjan, CI",68.6740947075209,0.0,0.05,5.32035685,-4.01610708,0.0
"Abu Dhabi, AE",106.82789317507418,0.0,0.104,24.45707321,54.37706375,0.0
"Accra, GH",74.25903614457832,0.0,0.059,5.55710983,-0.20123801,0.0
"Adana, TR",71.96765498652292,74.74057649667405,0.055,36.98371887,35.32981873,39.85144124168514
"Adapazarı, TR",67.4177897574124,71.21729490022173,0.049,40.78300095,30.39999962,32.292682926829265
"Addis Ababa, ET",78.06944444444444,0.0,0.065,9.01079369,38.76125336,0.0
"Adelaide, AU",18.69613259668508,18.472477064220183,0.001,-34.92869186,138.60101318,13.137614678899082
"Aguascalientes, MX",81.81408450704225,0.0,0.07,21.87961197,-102.29522705,0.0
"Akita, JP",32.07567567567568,0.0,0.012,39.69408035,140.11254883,0.0
"Albuquerque, US",22.393530997304584,20.93569844789357,0.004,35.08424759,-106.64923859,17.609756097560975
"Algiers, DZ",62.17254901960784,0.0,0.042,36.77536011,3.06018806,0.0
"Almaty, KZ",88.2991452991453,0.0,0.08,43.23639297,76.94572449,0.0
"Amiens, FR",45.080691642651296,0.0,0.022,49.89389038,2.29422688,0.0
"Amsterdam, NL",36.38814016172507,0.0,0.015,52.37316513,4.89065981,0.0
"Andong, KR",58.01617250673854,61.831485587583146,0.036,36.56591797,128.7250061,30.54988913525499
"Ankara, TR",56.95956873315364,58.42350332594235,0.033,39.89651871,32.86197281,35.45676274944567
"Antakya, TR",75.36388140161725,82.16421568627452,0.061,36.88639069,30.71048737,51.55769230769231
"Antwerpen, BE",40.32154340836013,40.04166666666666,0.018,51.21648026,4.42319584,18.80952380952381
"Anyang, CN",111.08355795148248,0.0,0.111,36.09804916,114.39273071,0.0
"Arāk, IR",95.2638036809816,0.0,0.09,34.08652115,49.68884277,0.0
"Ashdod, IL",56.2027397260274,55.63063063063064,0.033,31.7977314,34.65299225,34.59471365638767
"Ashgabat, TM",65.71818181818182,0.0,0.046,37.94046402,58.38234711,0.0
"Ashkelon, IL",56.53168044077135,56.02488687782805,0.033,31.66448784,34.57301712,34.17180616740088
"Athens, GR",54.95628415300546,55.46153846153846,0.03,37.97533417,23.73614883,25.16742081447964
"Atlanta, US",38.57417582417583,37.95045045045045,0.016,33.7485466,-84.39150238,16.096846846846848
"Auckland, NZ",22.37082066869301,0.0,0.004,-36.89349365,174.70991516,0.0
"Austin, US",33.84905660377358,34.44124168514412,0.013,30.26497841,-97.74659729,0.0
"Baghdad, IQ",152.8263305322129,0.0,0.166,33.30617142,44.38722229,0.0
"Baltimore, US",31.62803234501348,31.481152993348115,0.011,39.29044342,-76.61233521,11.89090909090909
"Balıkesir, TR",54.00808625336927,56.62444444444444,0.03,39.65072632,27.87975502,49.82039911308204
"Bamako, ML",118.35051546391752,129.27118644067798,0.12,12.6493187,-8.00033665,0.0
"Bandar Abbas, IR",75.62085308056872,0.0,0.061,27.17934608,56.27814102,0.0
"Bangkok, TH",69.75202156334232,0.0,0.052,13.75395775,100.50224304,0.0
"Barcelona, ES",44.00677966101695,44.778666666666666,0.021,41.38299942,2.18300009,24.33259423503326
"Beijing, CN",78.14824797843666,0.0,0.065,39.9078064,116.39758301,0.0
"Belfast, GB",30.43783783783784,0.0,0.01,54.59726715,-5.93010902,0.0
"Belgrade, RS",64.35309973045823,0.0,0.045,44.81506729,20.46047401,0.0
"Bengaluru, IN",90.58791208791207,93.55630630630633,0.083,12.97674656,77.57527924,0.0
"Bergen, NO",20.80540540540541,0.0,0.003,60.38804626,5.33185816,0.0
"Berlin, DE",44.47708894878706,0.0,0.021,52.50147247,13.40231705,0.0
"Besançon, FR",31.93628808864266,0.0,0.011,47.24126816,6.02553082,0.0
"Bhopal, IN",104.198347107438,106.7471783295711,0.102,23.13952637,77.40857697,72.03611738148985
"Bilbao, ES",39.71967654986523,39.35033259423504,0.017,43.25696182,-2.92346001,15.818181818181818
"Biratnagar, NP",78.93006993006993,89.52824858757062,0.065,26.46020126,87.28033447,33.97746478873239
"Birmingham, GB",35.26954177897574,0.0,0.014,52.48289871,-1.89346194,0.0
"Bishkek, KG",75.88439306358381,0.0,0.061,42.87778854,74.60668945,0.0
"Bloemfontein, ZA",68.37222222222222,0.0,0.05,-29.11812973,26.22309113,0.0
"Bogotá, CO",56.25606469002695,0.0,0.033,4.65346479,-74.08364868,0.0
"Boise, US",29.159029649595688,27.824444444444445,0.009,43.61579132,-116.20157623,21.466666666666665
"Bologna, IT",49.810810810810814,0.0,0.024,44.49419022,11.34651947,0.0
"Bordeaux, FR",35.30958904109589,0.0,0.014,44.83499527,-0.575495,0.0
"Boston, US",28.29380053908356,28.24611973392461,0.009,42.35899353,-71.0586319,13.411764705882351
"Bratislava, SK",44.9245283018868,0.0,0.021,48.14640045,17.10687828,0.0
"Breda, NL",39.91891891891892,0.0,0.017,51.58931732,4.7744751,0.0
"Brescia, IT",59.78048780487805,0.0,0.037,45.53983688,10.22295666,0.0
"Brisbane, AU",21.56639566395664,21.547884187082406,0.004,-27.46777916,153.02610779,12.697104677060134
"Bristol, GB",39.51219512195122,0.0,0.017,51.45531464,-2.59190202,0.0
"Brno, CZ",49.27493261455525,49.69179600886918,0.024,49.19205093,16.6131916,18.26829268292683
"Brooklyn, US",29.242587601078167,29.88691796008869,0.009,40.69252777,-73.99099731,0.0
"Brussels, BE",38.56230031948882,38.40236686390533,0.016,50.84553528,4.35570192,15.831360946745562
"Bucharest, RO",50.82479784366577,0.0,0.025,44.44131851,26.08756256,0.0
"Budapest, HU",43.2852233676976,0.0,0.02,47.48395157,19.10762405,0.0
"Buenos Aires, AR",38.88817891373802,0.0,0.016,-34.60756683,-58.43708801,0.0
"Burgos, ES",24.0,24.18325791855204,0.006,42.34089279,-3.69976211,12.635555555555555
"Bursa, TR",81.57681940700809,83.88470066518848,0.07,40.18578339,29.05666161,43.46119733924612
"Busan, KR",53.22641509433962,55.72062084257206,0.028,35.09700012,129.00810242,25.862527716186253
"Bydgoszcz, PL",44.450819672131146,45.0762331838565,0.021,53.12112808,17.99296761,23.426008968609864
"Caen, FR",31.56786703601108,0.0,0.011,49.18466187,-0.360264,0.0
"Calama, CL",26.504043126684635,27.164079822616408,0.007,-22.4623909,-68.92721558,26.73835920177384
"Calgary, CA",24.18598382749326,0.0,0.006,51.04730606,-114.05796814,0.0
"Canberra, AU",20.973045822102424,21.0,0.003,-35.29843903,149.13453674,7.113082039911308
"Cape Town, ZA",41.308457711442784,0.0,0.018,-33.92710876,18.42006111,0.0
"Cardiff, GB",40.73315363881402,0.0,0.018,51.48130798,-3.18049788,0.0
"Castelló de la Plana, ES",20.07356948228883,20.25115207373272,0.003,39.98603821,-0.03607,8.392609699769054
"Chandigarh, IN",130.25,133.46396396396398,0.134,30.73335075,76.77903748,79.0608108108108
"Changchun, CN",76.02156334231806,0.0,0.062,43.81665802,125.32362366,0.0
"Changsha, CN",99.08086253369272,0.0,0.096,28.22805977,112.93891907,0.0
"Changwon, KR",51.13477088948787,53.01330376940133,0.026,35.27082825,128.66305542,24.55654101995565
"Changzhou, CN",90.15363881401618,0.0,0.083,31.81062126,119.97442627,0.0
"Charleroi, BE",30.246794871794872,30.148367952522253,0.01,50.41146088,4.44424009,14.905044510385755
"Charlotte, US",32.73854447439353,32.39467849223947,0.012,35.2237854,-80.84114075,11.611940298507465
"Chengdu, CN",102.71159029649596,0.0,0.099,30.5722599,104.06651306,0.0
"Chennai, IN",83.3288409703504,88.8159645232816,0.073,13.06695557,80.16930389,48.11036036036036
"Cheongju-si, KR",64.83288409703503,68.48337028824834,0.045,36.63299942,127.48300171,32.90243902439025
"Chiang Mai, TH",70.71590296495957,0.0,0.054,18.78965569,98.98439789,0.0
"Chiba, JP",33.857142857142854,0.0,0.013,35.58037567,140.11346436,0.0
"Chicago, US",33.17250673854448,33.41019955654102,0.013,41.8832283,-87.63240051,15.66740576496674
"Chillán, CL",49.16711590296496,48.39467849223947,0.024,-36.60666275,-72.10331726,25.232815964523283
"Chon Buri, TH",59.064690026954175,0.0,0.037,13.19523335,101.20563507,0.0
"Chongqing, CN",89.42857142857143,0.0,0.081,29.56274986,106.55180359,0.0
"Christchurch, NZ",24.51212938005391,0.0,0.006,-43.51400757,172.59701538,0.0
"Chuncheon, KR",53.24258760107816,58.53658536585366,0.028,37.86963272,127.73867798,26.700665188470065
"Clermont-Ferrand, FR",35.98365122615804,0.0,0.014,45.77720642,3.0825181,0.0
"Colombo, LK",67.45514950166113,0.0,0.049,6.93874693,79.85411072,0.0
"Columbus, US",31.65498652291105,31.27050997782705,0.011,39.96276093,-82.99629211,0.0
"Conakry, GN",122.33333333333331,0.0,0.124,9.51706028,-13.69984341,0.0
"Concepción, CL",46.46630727762803,45.190687361419066,0.022,-36.82707977,-73.05023956,26.031042128603104
"Copenhagen, DK",32.45892351274787,0.0,0.012,55.67575836,12.56902313,0.0
"Coventry, GB",32.25876010781671,0.0,0.012,52.40631485,-1.50851703,0.0
"Cuernavaca, MX",64.32520325203252,0.0,0.045,18.89122772,-99.2234726,0.0
"Córdoba, ES",49.78125,50.35581395348837,0.024,37.88472366,-4.77912712,26.609375
"Daegu, KR",55.76549865229111,59.15742793791574,0.031,35.86873627,128.60502625,28.873614190687363
"Daejeon, KR",57.08625336927224,60.99778270509978,0.034,36.33010101,127.42246246,30.24390243902439
"Dallas, US",31.73566878980892,32.15128205128205,0.011,32.77797699,-96.79621124,19.53221957040573
"Dammam, SA",205.5,0.0,0.467,26.43927765,50.09445953,0.0
"Darmstadt, DE",33.283018867924525,0.0,0.013,49.87237167,8.6509819,0.0
"Darwin, AU",30.3489010989011,27.48306997742664,0.01,-12.46083355,130.84443665,12.968397291196387
"Delhi, IN",156.29649595687331,161.43680709534368,0.19,28.64339066,77.11547852,125.51662971175166
"Denizli, TR",63.24342105263158,69.67672413793103,0.043,37.77868652,29.06165695,51.32372505543237
"Denver, US",25.733153638814017,26.21555555555556,0.007,39.73845291,-104.98485565,17.246666666666666
"Detroit, US",39.39457831325301,40.24514563106796,0.017,42.33293915,-83.0478363,17.054878048780488
"Dhaka, BD",161.61559888579387,0.0,0.22,23.70730591,90.41548157,0.0
"Dijon, FR",30.38186813186813,0.0,0.01,47.32721329,5.04404116,0.0
"Dnipro, UA",31.598639455782312,31.598639455782312,0.011,48.47329712,35.00191498,14.363945578231291
"Dongguan, CN",64.1644204851752,0.0,0.045,23.02066994,113.75179291,0.0
"Donostia / San Sebastián, ES",33.71159029649596,34.5920177383592,0.013,43.32090378,-1.984514,15.150776053215075
"Dordrecht, NL",40.83923705722071,0.0,0.018,51.81155014,4.66636086,0.0
"Douliu, TW",55.8167115902965,60.106430155210646,0.031,23.69922447,120.5260849,33.8780487804878
"Dresden, DE",38.84699453551912,0.0,0.016,51.05099106,13.73363304,0.0
"Dubai, AE",164.94428152492668,0.0,0.238,24.93719292,55.37487793,0.0
"Dublin, IE",27.48816568047337,0.0,0.008,53.34409714,-6.2674861,0.0
"Durban, ZA",54.77707006369427,0.0,0.03,-29.88188934,30.98084259,0.0
"Dushanbe, TJ",105.36543909348444,0.0,0.103,38.57627106,68.78635406,0.0
"Düsseldorf, DE",38.49722222222222,0.0,0.016,51.22495651,6.77567816,0.0
"East London, ZA",101.92682926829268,0.0,0.098,-33.01343918,27.90420151,0.0
"Edinburgh, GB",20.40431266846361,0.0,0.003,55.95019531,-3.18756294,0.0
"Edmonton, CA",27.90566037735849,0.0,0.008,53.54445267,-113.49091339,0.0
"Eindhoven, NL",50.349726775956285,0.0,0.025,51.43659592,5.47800207,0.0
"El Paso, US",27.787061994609164,26.97560975609756,0.008,31.76010704,-106.49229431,23.01330376940133
"Erzurum, TR",70.83695652173913,70.04719101123595,0.054,39.90149689,41.26454926,37.31485587583148
"Eskişehir, TR",49.57790368271954,47.61662817551963,0.024,39.77077484,30.51798058,35.61200923787529
"Florence, IT",45.7967032967033,0.0,0.022,43.76869583,11.2569294,0.0
"Fort Worth, US",30.870619946091644,30.69179600886918,0.01,32.74990463,-97.33033752,0.0
"Foshan, CN",65.42318059299191,0.0,0.046,23.02185059,113.12191772,0.0
"Freiburg, DE",31.671159029649598,0.0,0.011,47.99718475,7.85376692,0.0
"Fresno, US",40.71159029649596,38.36,0.018,36.73165512,-119.78585815,29.95777777777778
"Fukuoka, JP",41.490566037735846,0.0,0.018,33.59696198,130.4080658,0.0
