"City, Country",AQI_PM2_5,PM2_5,PM10,wind_speed,humidity,precipitation,Soiling_Rate,lat,lng
"Abidjan, CI",68.6740947075209,67.71671388101983,0.0,3.118356164383562,89.66027397260274,0.0,0.05,5.32035685,-4.01610708
"Abu Dhabi, AE",106.82789317507418,0.0,0.0,0.0,0.0,0.0,0.104,24.45707321,54.37706375
"Accra, GH",74.25903614457832,73.39263803680981,0.0,4.06515580736544,81.60311614730878,17.516666666666666,0.059,5.55710983,-0.20123801
"Adana, TR",71.96765498652292,0.0,0.0,0.0,0.0,0.0,0.055,36.98371887,35.32981873
"Adapazarı, TR",67.4177897574124,0.0,0.0,0.0,0.0,0.0,0.049,40.78300095,30.39999962
"Addis Ababa, ET",78.06944444444444,78.45352112676056,0.0,3.361329305135951,60.2030303030303,0.1,0.065,9.01079369,38.76125336
"Adelaide, AU",18.69613259668508,18.571428571428573,12.9187675070028,4.639118457300276,65.31432506887053,40.64124293785311,0.001,-34.92869186,138.60101318
"Aguascalientes, MX",81.81408450704225,0.0,0.0,0.0,0.0,0.0,0.07,21.87961197,-102.29522705
"Akita, JP",32.07567567567568,32.1510989010989,9.057692307692308,3.7304109589041095,75.74054794520548,52.050511945392486,0.012,39.69408035,140.11254883
"Albuquerque, US",22.393530997304584,22.583561643835612,18.972602739726028,3.0545205479452058,40.17041095890411,0.0,0.004,35.08424759,-106.64923859
"Algiers, DZ",62.17254901960784,0.0,0.0,0.0,0.0,0.0,0.042,36.77536011,3.06018806
"Almaty, KZ",88.2991452991453,0.0,0.0,0.0,0.0,0.0,0.08,43.23639297,76.94572449
"Amiens, FR",45.080691642651296,0.0,0.0,0.0,0.0,0.0,0.022,49.89389038,2.29422688
"Amsterdam, NL",36.38814016172507,36.48219178082192,15.484931506849316,2.9810958904109586,78.59917808219178,0.0,0.015,52.37316513,4.89065981
"Andong, KR",58.01617250673854,0.0,0.0,0.0,0.0,0.0,0.036,36.56591797,128.7250061
"Ankara, TR",56.95956873315364,0.0,0.0,0.0,0.0,0.0,0.033,39.89651871,32.86197281
"Antakya, TR",75.36388140161725,0.0,0.0,0.0,0.0,0.0,0.061,36.88639069,30.71048737
"Antwerpen, BE",40.32154340836013,0.0,0.0,0.0,0.0,0.0,0.018,51.21648026,4.42319584
"Anyang, CN",111.08355795148248,0.0,0.0,0.0,0.0,0.0,0.111,36.09804916,114.39273071
"Arāk, IR",95.2638036809816,0.0,0.0,0.0,0.0,0.0,0.09,34.08652115,49.68884277
"Ashdod, IL",56.2027397260274,0.0,0.0,0.0,0.0,0.0,0.033,31.7977314,34.65299225
"Ashgabat, TM",65.71818181818182,0.0,0.0,0.0,0.0,0.0,0.046,37.94046402,58.38234711
"Ashkelon, IL",56.53168044077135,0.0,0.0,0.0,0.0,0.0,0.033,31.66448784,34.57301712
"Athens, GR",54.95628415300546,0.0,0.0,0.0,0.0,0.0,0.03,37.97533417,23.73614883
"Atlanta, US",38.57417582417583,38.712290502793294,16.6731843575419,1.1912087912087912,63.43095890410959,0.0,0.016,33.7485466,-84.39150238
"Auckland, NZ",22.37082066869301,0.0,0.0,0.0,0.0,0.0,0.004,-36.89349365,174.70991516
"Austin, US",33.84905660377358,33.37808219178082,0.0,2.8494318181818183,64.52082191780822,0.0,0.013,30.26497841,-97.74659729
"Baghdad, IQ",152.8263305322129,153.0940170940171,0.0,3.586149584487535,36.02714681440443,0.0,0.166,33.30617142,44.38722229
"Baltimore, US",31.62803234501348,31.432876712328767,12.340845070422535,1.872328767123288,73.15315068493152,0.0,0.011,39.29044342,-76.61233521
"Balıkesir, TR",54.00808625336927,0.0,0.0,0.0,0.0,0.0,0.03,39.65072632,27.87975502
"Bamako, ML",118.35051546391752,118.92631578947368,0.0,2.38099173553719,52.05785123966942,0.0,0.12,12.6493187,-8.00033665
"Bandar Abbas, IR",75.62085308056872,0.0,0.0,0.0,0.0,0.0,0.061,27.17934608,56.27814102
"Bangkok, TH",69.75202156334232,0.0,0.0,0.0,0.0,0.0,0.052,13.75395775,100.50224304
"Barcelona, ES",44.00677966101695,0.0,0.0,0.0,0.0,0.0,0.021,41.38299942,2.18300009
"Beijing, CN",78.14824797843666,0.0,0.0,0.0,0.0,0.0,0.065,39.9078064,116.39758301
"Belfast, GB",30.43783783783784,30.324175824175825,13.175342465753424,3.9336986301369863,78.78904109589041,0.0,0.01,54.59726715,-5.93010902
"Belgrade, RS",64.35309973045823,63.52876712328767,25.567123287671237,1.881095890410959,67.55671232876712,0.0,0.045,44.81506729,20.46047401
"Bengaluru, IN",90.58791208791207,0.0,0.0,0.0,0.0,0.0,0.083,12.97674656,77.57527924
"Bergen, NO",20.80540540540541,0.0,0.0,0.0,0.0,0.0,0.003,60.38804626,5.33185816
"Berlin, DE",44.47708894878706,0.0,0.0,0.0,0.0,0.0,0.021,52.50147247,13.40231705
"Besançon, FR",31.93628808864266,0.0,0.0,0.0,0.0,0.0,0.011,47.24126816,6.02553082
"Bhopal, IN",104.198347107438,0.0,0.0,0.0,0.0,0.0,0.102,23.13952637,77.40857697
"Bilbao, ES",39.71967654986523,0.0,0.0,0.0,0.0,0.0,0.017,43.25696182,-2.92346001
"Biratnagar, NP",78.93006993006993,78.86476868327402,29.68683274021352,1.0084142394822009,87.8705501618123,0.0,0.065,26.46020126,87.28033447
"Birmingham, GB",35.26954177897574,35.40547945205479,14.734246575342466,3.022739726027398,83.03835616438356,0.0,0.014,52.48289871,-1.89346194
"Bishkek, KG",75.88439306358381,75.13823529411765,0.0,2.3725761772853184,63.35595567867036,0.0,0.061,42.87778854,74.60668945
"Bloemfontein, ZA",68.37222222222222,0.0,0.0,0.0,0.0,0.0,0.05,-29.11812973,26.22309113
"Bogotá, CO",56.25606469002695,56.07123287671233,26.5068870523416,1.384109589041096,70.59808219178082,0.4570032573289903,0.033,4.65346479,-74.08364868
"Boise, US",29.159029649595688,29.22465753424657,21.65084745762712,1.0419825072886295,60.26328767123288,0.0,0.009,43.61579132,-116.20157623
