1691,Goettingen,Germany,1,51.5002,9.9507,167

Date (MM/DD/YYYY),Time (HH:MM),DNI (W/m^2),GHI (W/m^2),DHI (W/m^2),Dry-bulb (C),Alb

01/04/2020,00:00,0.0,0.0,0.0,0.0,0

01/04/2020,01:00,0.0,0.0,0.0,0.0,0

01/04/2020,02:00,0.0,0.0,0.0,0.0,0

01/04/2020,03:00,0.0,0.0,0.0,0.0,0

01/04/2020,04:00,0.0,0.0,0.0,0.0,0

01/04/2020,05:00,0.0,0.0,0.0,0.0,0

01/04/2020,06:00,0.0,0.0,0.0,0.0,0

01/04/2020,07:00,0.0,0.0,0.0,0.0,0

01/04/2020,08:00,0.0,0.0,0.0,0.0,0

01/04/2020,09:00,8.0556,22.3765,14.321,0.0,0

01/04/2020,10:00,23.3333,64.8149,41.4815,0.0,0

01/04/2020,11:00,13.0556,36.2654,23.2098,0.0,0

01/04/2020,12:00,6.9445,19.29,12.3458,0.0,0

01/04/2020,13:00,6.9445,19.29,12.3457,0.0,0

01/04/2020,14:00,9.1667,25.4628,16.2963,0.0,0

01/04/2020,15:00,5.5556,15.432,9.8765,0.0,0

01/04/2020,16:00,0.2778,0.7716,0.4938,0.0,0

01/04/2020,17:00,0.0,0.0,0.0,0.0,0

01/04/2020,18:00,0.0,0.0,0.0,0.0,0

01/04/2020,19:00,0.0,0.0,0.0,0.0,0

01/04/2020,20:00,0.0,0.0,0.0,0.0,0

01/04/2020,21:00,0.0,0.0,0.0,0.0,0

01/04/2020,22:00,0.0,0.0,0.0,0.0,0

01/04/2020,23:00,0.0,0.0,0.0,0.0,0

01/05/2020,00:00,0.0,0.0,0.0,0.0,0

01/05/2020,01:00,0.0,0.0,0.0,0.0,0

01/05/2020,02:00,0.0,0.0,0.0,0.0,0

01/05/2020,03:00,0.0,0.0,0.0,0.0,0

01/05/2020,04:00,0.0,0.0,0.0,0.0,0

01/05/2020,05:00,0.0,0.0,0.0,0.0,0

01/05/2020,06:00,0.0,0.0,0.0,0.0,0

01/05/2020,07:00,0.0,0.0,0.0,0.0,0

01/05/2020,08:00,3.8889,10.8024,6.9135,0.0,0

01/05/2020,09:00,24.7222,68.673,43.9506,0.0,0

01/05/2020,10:00,35.2779,97.9938,62.7161,0.0,0

01/05/2020,11:00,65.0001,180.5556,115.5555,0.0,0

01/05/2020,12:00,76.9446,213.7346,136.7902,0.0,0

01/05/2020,13:00,51.9445,144.2901,92.3457,0.0,0

01/05/2020,14:00,34.4445,95.679,61.2345,0.0,0

01/05/2020,15:00,7.2222,20.0617,12.8396,0.0,0

01/05/2020,16:00,0.0,0.0,0.0,0.0,0

01/05/2020,17:00,0.0,0.0,0.0,0.0,0

01/05/2020,18:00,0.0,0.0,0.0,0.0,0

01/05/2020,19:00,0.0,0.0,0.0,0.0,0

01/05/2020,20:00,0.0,0.0,0.0,0.0,0

01/05/2020,21:00,0.0,0.0,0.0,0.0,0

01/05/2020,22:00,0.0,0.0,0.0,0.0,0

01/05/2020,23:00,0.0,0.0,0.0,0.0,0

01/06/2020,00:00,0.0,0.0,0.0,0.0,0

