0,Heggelbach,Germany,2,47.853,9.136,653,
Date (MM/DD/YYYY),Time (HH:MM),GHI (W/m^2),DNI (W/m^2),DHI (W/m^2),Dry-bulb (C),Pressure (mbar),Alb
01/01/2020,00:00:00,1.141666667,1.083333333,0.05,-0.975,992.14,0.15
01/01/2020,01:00:00,0.991666667,0.991666667,0,-1.283333333,991.97,0.15
01/01/2020,02:00:00,1.25,1.2,0.033333333,-1.575,991.81,0.15
01/01/2020,03:00:00,0.8,0.8,0,-1.55,991.94,0.15
01/01/2020,04:00:00,1.016666667,1.016666667,0,-1.625,992.07,0.15
01/01/2020,05:00:00,0.925,0.925,0,-1.8,992.2,0.15
01/01/2020,06:00:00,1.175,1.175,0,-2.183333333,992.69,0.15
01/01/2020,07:00:00,1.091666667,1.083333333,0,-2.933333333,993.18,0.15
01/01/2020,08:00:00,7.458333333,2.158333333,5.308333333,-2.583333333,993.67,0.15
01/01/2020,09:00:00,35.025,2.916666667,32.11666667,-2.133333333,993.02,0.15
01/01/2020,10:00:00,72.49166667,3.283333333,69.20833333,-1.383333333,992.36,0.15
01/01/2020,11:00:00,124.0083333,11.48333333,112.5083333,-1.041666667,991.71,0.15
01/01/2020,12:00:00,182.175,24.56666667,157.5833333,-0.983333333,990.86,0.15
01/01/2020,13:00:00,111.15,5.975,105.1833333,-1.208333333,990.01,0.15
01/01/2020,14:00:00,69.36666667,3.533333333,65.825,-1.366666667,989.16,0.15
01/01/2020,15:00:00,38.78333333,2.458333333,36.325,-1.508333333,989.49,0.15
01/01/2020,16:00:00,8,2.308333333,5.691666667,-1.6,989.82,0.15
01/01/2020,17:00:00,1.058333333,1.041666667,0.016666667,-1.925,990.14,0.15
01/01/2020,18:00:00,0.883333333,0.883333333,0,-2.016666667,990.8,0.15
01/01/2020,19:00:00,0.883333333,0.883333333,0,-2.041666667,991.45,0.15
01/01/2020,20:00:00,0.925,0.925,0,-2.275,992.1,0.15
01/01/2020,21:00:00,0.816666667,0.816666667,0,-2.2,992.14,0.15
01/01/2020,22:00:00,0.916666667,0.916666667,0,-2.133333333,992.17,0.15
01/01/2020,23:00:00,0.75,0.75,0,-1.35,992.2,0.15
01/02/2020,00:00:00,0.8,0.8,0,-1.7,992.3,0.15
01/02/2020,01:00:00,1,1,0,-2.083333333,992.4,0.15
01/02/2020,02:00:00,0.966666667,0.966666667,0,-2.183333333,992.49,0.15
01/02/2020,03:00:00,1.1,1.1,0,-2.25,992.66,0.15
01/02/2020,04:00:00,1.058333333,1.058333333,0,-2.525,992.82,0.15
01/02/2020,05:00:00,0.941666667,0.941666667,0,-2.558333333,992.98,0.15
01/02/2020,06:00:00,0.966666667,0.966666667,0,-2.65,993.57,0.15
01/02/2020,07:00:00,0.883333333,0.883333333,0,-2.575,994.16,0.15
01/02/2020,08:00:00,4.525,2.091666667,2.433333333,-2.216666667,994.75,0.15
01/02/2020,09:00:00,20.88333333,2.491666667,18.4,-1.841666667,994,0.15
01/02/2020,10:00:00,45.525,2.533333333,43,-1.133333333,993.25,0.15
01/02/2020,11:00:00,62.3,2.408333333,59.89166667,-1.1,992.49,0.15
01/02/2020,12:00:00,80.825,2.675,78.16666667,-1.025,991.55,0.15
01/02/2020,13:00:00,65.64166667,2.408333333,63.26666667,-0.875,990.6,0.15
01/02/2020,14:00:00,47.54166667,2.541666667,45,-0.958333333,989.65,0.15
